Title,Content,Content_url,News_type,Day_month_year_hour,Img_url
5 eski polis müdürü tutuklandı,,/gundem/2014/12/27/5-eski-polis-muduru-tutuklandi,Gündem,27.12.14-00:01,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419717383695.jpg
Chelsea’nin eski hocası Passolig aldı,,/spor/futbol/2014/12/27/chelseanin-eski-hocasi-passolig-aldi,Futbol,27.12.14-00:01,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419716172380.jpg
"Erdoğan’dan, Mehmet Akif Ersoy mesajı",,/gundem/2014/12/27/erdogandan-mehmet-akif-ersoy-mesaji-1419719004,Gündem,27.12.14-00:01,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419715737657.jpg
Hamzaoğlu’dan Pandev’e veto,,/spor/futbol/2014/12/27/hamzaogludan-pandeve-veto,Futbol,27.12.14-00:01,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419715505509.jpg
Gülen’in okullarını CIA yönetiyor," 
",/gundem/2014/12/27/gulenin-okullarini-cia-yonetiyor,Gündem,27.12.14-00:01,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419715345817.jpg
Feci kazada 4 asker yaralandı,,/Yasam/feci-kazada-4-asker-yaralandi-2902263,Yaşam,27.12.14-00:01,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419714753441.jpg
Eski vekil ’garson’ oldu,,/gundem/2014/12/27/eski-vekil-garson-oldu,Gündem,27.12.14-00:01,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419714467710.jpg
İşte Feyyaz Uçar’ın yeni takımı,,/spor/futbol/2014/12/27/iste-feyyaz-ucarin-yeni-takimi,Futbol,27.12.14-23:57,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419713825349.jpg
Traykovski’nin ölümünde pilot hatası,,/Dunya/traykovskinin-olumunde-pilot-hatasi-2902222,Dünya,27.12.14-23:50,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419713435149.jpg
Galatasaray Arroyo ile güldü,,/spor/basketbol/2014/12/27/galatasaray-arroyo-ile-guldu,Basketbol,27.12.14-23:46,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419713171150.jpg
Fenerbahçe’nin tek rakibi Real Madrid,,/spor/futbol/2014/12/27/fenerbahcenin-tek-rakibi-real-madrid,Futbol,27.12.14-23:44,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419713041921.jpg
"Başbakan Davutoğlu, Meşal ile görüştü",,/gundem/2014/12/27/basbakan-davutoglu-mesal-ile-gorustu,Gündem,27.12.14-23:36,https://isbh.tmgrup.com.tr/sbh/2014/12/27/400x211/1419712570245.jpg
